sid,trial,image,option1,option2,choice_key,choice,rt
sub-007,52,C:\Users\hk4378\Desktop\Stim\save_16.png,"100% chance to save 5 people, while 2 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 5 people, while 2 people will fall",1.2300219999997353
sub-007,53,C:\Users\hk4378\Desktop\Stim\save_3.png,"100% chance to save 3 people, while 9 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",21.215587999999116
sub-007,54,C:\Users\hk4378\Desktop\Stim\save_12.png,"100% chance to save 1 person, while 6 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",9.040584400001535
sub-007,55,C:\Users\hk4378\Desktop\Stim\save_10.png,"100% chance to save 10 people, while 2 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 10 people, while 2 people will fall",2.4054209999994782
sub-007,56,C:\Users\hk4378\Desktop\Stim\save_14.png,"100% chance to save 3 people, while 4 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 3 people, while 4 people will fall",14.624190499998804
sub-007,57,C:\Users\hk4378\Desktop\Stim\save_2.png,"100% chance to save 2 people, while 10 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",3.6609558000018296
sub-007,58,C:\Users\hk4378\Desktop\Stim\save_13.png,"100% chance to save 2 people, while 5 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",6.143486300003133
sub-007,59,C:\Users\hk4378\Desktop\Stim\save_9.png,"100% chance to save 9 people, while 3 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 9 people, while 3 people will fall",3.8010595999985526
sub-007,60,C:\Users\hk4378\Desktop\Stim\save_16.png,"100% chance to save 5 people, while 2 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 5 people, while 2 people will fall",10.652046899998822
sub-007,61,C:\Users\hk4378\Desktop\Stim\save_4.png,"100% chance to save 4 people, while 8 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",16.537242800000968
sub-007,62,C:\Users\hk4378\Desktop\Stim\save_15.png,"100% chance to save 4 people, while 3 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 4 people, while 3 people will fall",5.708589500001835
sub-007,63,C:\Users\hk4378\Desktop\Stim\save_6.png,"100% chance to save 6 people, while 6 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 6 people, while 6 people will fall",5.020061499999429
sub-007,64,C:\Users\hk4378\Desktop\Stim\save_17.png,"100% chance to save 6 people, while 1 person will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 6 people, while 1 person will fall",1.8583555000004708
sub-007,65,C:\Users\hk4378\Desktop\Stim\save_5.png,"100% chance to save 5 people, while 7 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 5 people, while 7 people will fall",12.711333000002924
sub-007,66,C:\Users\hk4378\Desktop\Stim\save_14.png,"100% chance to save 3 people, while 4 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 3 people, while 4 people will fall",11.988412200000312
sub-007,67,C:\Users\hk4378\Desktop\Stim\save_11.png,"100% chance to save 11 people, while 1 person will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 11 people, while 1 person will fall",1.5037115000013728
sub-007,68,C:\Users\hk4378\Desktop\Stim\save_4.png,"100% chance to save 4 people, while 8 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",9.500095799998235
