sid,trial,image,option1,option2,choice_key,choice,rt
sub-004,0,C:\Users\hk4378\Desktop\Stim\save_0.png,press f to select this option,press j to select this option,2,press j to select this option,24.464752700001554
sub-004,1,C:\Users\hk4378\Desktop\Stim\save_11.png,"100% chance to save 11 people, while 1 person will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 11 people, while 1 person will fall",5.378001299999596
sub-004,2,C:\Users\hk4378\Desktop\Stim\save_17.png,"100% chance to save 6 people, while 1 person will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 6 people, while 1 person will fall",4.765706500000306
sub-004,3,C:\Users\hk4378\Desktop\Stim\save_4.png,"100% chance to save 4 people, while 8 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",4.6028593000010005
sub-004,4,C:\Users\hk4378\Desktop\Stim\save_14.png,"100% chance to save 3 people, while 4 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",4.1462905000007595
sub-004,5,C:\Users\hk4378\Desktop\Stim\save_7.png,"100% chance to save 7 people, while 5 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",4.130949899999905
sub-004,6,C:\Users\hk4378\Desktop\Stim\save_15.png,"100% chance to save 4 people, while 3 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",3.2881166000006488
sub-004,7,C:\Users\hk4378\Desktop\Stim\save_9.png,"100% chance to save 9 people, while 3 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 9 people, while 3 people will fall",4.834398599999986
sub-004,8,C:\Users\hk4378\Desktop\Stim\save_13.png,"100% chance to save 2 people, while 5 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",3.654338899999857
sub-004,9,C:\Users\hk4378\Desktop\Stim\save_2.png,"100% chance to save 2 people, while 10 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",2.8579422000002523
sub-004,10,C:\Users\hk4378\Desktop\Stim\save_12.png,"100% chance to save 1 person, while 6 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",2.4285646000007546
sub-004,11,C:\Users\hk4378\Desktop\Stim\save_1.png,"100% chance to save 1 person, while 11 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",2.5337674000002153
sub-004,12,C:\Users\hk4378\Desktop\Stim\save_16.png,"100% chance to save 5 people, while 2 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 5 people, while 2 people will fall",3.0758176000017556
sub-004,13,C:\Users\hk4378\Desktop\Stim\save_10.png,"100% chance to save 10 people, while 2 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 10 people, while 2 people will fall",2.718427400001019
sub-004,14,C:\Users\hk4378\Desktop\Stim\save_17.png,"100% chance to save 6 people, while 1 person will fall","50% chance to save all 7 people, at the risk that all 7 will fall",1,"100% chance to save 6 people, while 1 person will fall",2.939382200000182
sub-004,15,C:\Users\hk4378\Desktop\Stim\save_6.png,"100% chance to save 6 people, while 6 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",8.742347500001415
sub-004,16,C:\Users\hk4378\Desktop\Stim\save_15.png,"100% chance to save 4 people, while 3 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",6.702380200000334
sub-004,17,C:\Users\hk4378\Desktop\Stim\save_3.png,"100% chance to save 3 people, while 9 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",5.968656799999735
sub-004,18,C:\Users\hk4378\Desktop\Stim\save_12.png,"100% chance to save 1 person, while 6 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",5.28740149999976
sub-004,19,C:\Users\hk4378\Desktop\Stim\save_5.png,"100% chance to save 5 people, while 7 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",2,"50% chance to save all 12 people, at the risk that all 12 will fall",4.376476199999161
sub-004,20,C:\Users\hk4378\Desktop\Stim\save_14.png,"100% chance to save 3 people, while 4 people will fall","50% chance to save all 7 people, at the risk that all 7 will fall",2,"50% chance to save all 7 people, at the risk that all 7 will fall",7.161536499999784
sub-004,21,C:\Users\hk4378\Desktop\Stim\save_8.png,"100% chance to save 8 people, while 4 people will fall","50% chance to save all 12 people, at the risk that all 12 will fall",1,"100% chance to save 8 people, while 4 people will fall",10.405490700000882
